Species_ID,Regional_Mean,Regional_SD
mean_auro,35.6801370943,103.9421856641
mean_pauc,58.6533668113,155.1434696495
mean_pinn,102.2814262994,291.9708161719
mean_good,556.3139005466,1695.1853321728
mean_cram,190.2942394113,2704.1308485894
mean_elon,133.1842323883,592.0160807213
mean_alti,1097.3866410966,1975.4032339673
mean_alut,178.8529043441,2206.8779256909
mean_zace,391.8956688689,4189.1388880118
mean_jord,97.8073509308,682.7401054321
mean_bore,0.6293091890,2.3161503667
mean_alas,367.8204225520,464.8822936368
mean_dipl,370.7075111248,918.5568893047
mean_saxi,186.4953721936,626.1901779254
mean_ento,32.4063561682,46.8005746271
mean_rube,3.7375972876,11.2771090429
mean_flav,120.1577106189,404.2205791003
