"","Species_ID","Years_Present","Mean_Z_Across_Years","p_value"
"1","mean_alas",18,-0.238657094810082,2.47045428037948e-05
"2","mean_alti",18,-0.542313283372379,1.64475920370966e-31
"3","mean_alut",18,0.22725966456181,4.13035193527749e-08
"4","mean_auro",18,-0.170555238049173,3.32460717647415e-12
"5","mean_bore",18,-0.0293217546952456,0.201425462508439
"6","mean_cram",18,0.19619365701233,1.45989371049704e-09
"7","mean_dipl",18,0.445268515377926,1.77715015623685e-08
"8","mean_elon",18,0.747786859630849,1.29970006240312e-13
"9","mean_ento",18,1.51825957231374,2.79480931251711e-19
"10","mean_flav",18,1.13574540665306,2.23621710270431e-12
"11","mean_good",18,1.02336713674808,8.04440747956205e-12
"12","mean_jord",18,0.402551408559968,1.0763258277973e-08
"13","mean_pauc",18,1.17786133735199,1.41447024617863e-12
"14","mean_pinn",18,1.05511555800612,7.67976323168179e-11
"15","mean_rube",18,1.25715230817242,2.60601098025768e-11
"16","mean_saxi",18,1.07506643059922,5.484286398813e-12
"17","mean_zace",18,0.257598700862962,4.04269697325248e-09
