"","Species_ID","Years_Present","Mean_Z_Across_Years","p_value"
"1","mean_alas",18,-0.238657094810082,0.999987647728598
"2","mean_alti",18,-0.542313283372379,1
"3","mean_alut",18,0.22725966456181,2.06517596763875e-08
"4","mean_auro",18,-0.170555238049173,0.999999999998338
"5","mean_bore",18,-0.0293217546952456,0.89928726874578
"6","mean_cram",18,0.19619365701233,7.29946855248518e-10
"7","mean_dipl",18,0.445268515377926,8.88575078118425e-09
"8","mean_elon",18,0.747786859630849,6.49850031201561e-14
"9","mean_ento",18,1.51825957231374,1.39740465625856e-19
"10","mean_flav",18,1.13574540665306,1.11810855135216e-12
"11","mean_good",18,1.02336713674808,4.02220373978103e-12
"12","mean_jord",18,0.402551408559968,5.38162913898648e-09
"13","mean_pauc",18,1.17786133735199,7.07235123089314e-13
"14","mean_pinn",18,1.05511555800612,3.83988161584089e-11
"15","mean_rube",18,1.25715230817242,1.30300549012884e-11
"16","mean_saxi",18,1.07506643059922,2.7421431994065e-12
"17","mean_zace",18,0.257598700862962,2.02134848662624e-09
